name	path	DXT
S_Öñ×Ó019_003.tga	Data\source\maps_source\Texture	3
S_Öñ×Ó020_003.tga	Data\source\maps_source\Texture	3
S_×ÏÖñ019_003.tga	Data\source\maps_source\Texture	3
SY_°×ÑîÊ÷001.tga 	Data\source\maps_source\Texture	3
SY_°×ÑîÊ÷002.tga	Data\source\maps_source\Texture	3
SY_´ºÏÄ001.tga	Data\source\maps_source\Texture	3
SY_´ºÏÄ002.tga	Data\source\maps_source\Texture	3
SY_´ºÏÄ003.tga	Data\source\maps_source\Texture	3
SY_´ºÏÄ004.tga	Data\source\maps_source\Texture	3
SY_¶¬Ñ©001.tga	Data\source\maps_source\Texture	3
SY_·ãºì001.tga	Data\source\maps_source\Texture	3
SY_·ã»Æ001.tga	Data\source\maps_source\Texture	3
SY_·ã»Æ002.tga	Data\source\maps_source\Texture	3
SY_·ãÂÌ001.tga	Data\source\maps_source\Texture	3
SY_»ğÉÕÒ¶001.tga 	Data\source\maps_source\Texture	3
SY_½çÃæÊ÷Ò¶.tga	Data\source\maps_source\Texture	3
SY_éÙ×ÓÒ¶001.tga	Data\source\maps_source\Texture	3
SY_Àæ»¨001.tga	Data\source\maps_source\Texture	3
SY_Á¬ÀíÊ÷003.tga	Data\source\maps_source\Texture	3
SY_Ã·»¨001.tga	Data\source\maps_source\Texture	3
SY_Çïºì001.tga	Data\source\maps_source\Texture	3
SY_Çïºì002.tga	Data\source\maps_source\Texture	3
SY_Çï»Æ001.tga	Data\source\maps_source\Texture	3
SY_Çï»Æ002.tga   	Data\source\maps_source\Texture	3
SY_Çï»Æ003.tga	Data\source\maps_source\Texture	3
SY_ÇïÂÌ001.tga	Data\source\maps_source\Texture	3
SY_ÇïÂÌ002.tga	Data\source\maps_source\Texture	3
SY_É£Ò¶001.tga	Data\source\maps_source\Texture	3
SY_ËÉ°Ø001.tga	Data\source\maps_source\Texture	3
SY_ÌÒ»¨001.tga 	Data\source\maps_source\Texture	3
SY_Íò»¨Ê÷001.tga	Data\source\maps_source\Texture	3
SY_Î÷±±ºúÑîÊ÷001.tga	Data\source\maps_source\Texture	3
SY_ÏÄÀ¶001.tga	Data\source\maps_source\Texture	3
SY_äìÏæÊ÷001.tga	Data\source\maps_source\Texture	3
SY_ÒøĞÓÊ÷001.tga	Data\source\maps_source\Texture	3
SY_Ô°ÁÖÊ÷001.tga	Data\source\maps_source\Texture	3
SY_Ô°ÁÖÊ÷002.tga	Data\source\maps_source\Texture	3
