QuestID	QuestName	Objective	Description	DunningDialogue	UnfinishedDialogue	FinishedDialogue	Class	CanShare	CanRepeat	CanAssist	NeedAccept	Difficulty	QuestLevel	RequiredLevel	StartMapID	StartNpcTemplateID	StartDoodadTemplateID	StartItemType	StartItemIndex	StartGossipType	StartGossip1	StartGossip2	StartGossip3	StartGossip4	MinLevel	MaxLevel	MinMoral	MaxMoral	RequireGender	RequireRoleType	CooldownID	PrequestLogic	PrequestID1	PrequestID2	PrequestID3	PrequestID4	SubsequenceID	ForceIndex	StartTime	EndTime	RequireSkillID	MinSkillLevel	RequireLifeSkillID	MinLifeSkillLevel	StartForceIndex1	StartForceValue1	StartForceIndex2	StartForceValue2	StartForceIndex3	StartForceValue3	StartForceIndex4	StartForceValue4	StartRequireItemType1	StartRequireItemIndex1	StartRequireItemAmount1	StartRequireItemType2	StartRequireItemIndex2	StartRequireItemAmount2	StartRequireItemType3	StartRequireItemIndex3	StartRequireItemAmount3	StartRequireItemType4	StartRequireItemIndex4	StartRequireItemAmount4	OfferItemType1	OfferItemIndex1	OfferItemAmount1	OfferItemType2	OfferItemIndex2	OfferItemAmount2	OfferItemType3	OfferItemIndex3	OfferItemAmount3	OfferItemType4	OfferItemIndex4	OfferItemAmount4	EndMapID	EndNpcTemplateID	EndDoodadTemplateID	EndItemType	EndItemIndex	FinishTime	EndGossipType	EndGossip1	EndGossip2	EndGossip3	EndGossip4	EndRequireItemType1	EndRequireItemIndex1	EndRequireItemAmount1	IsDeleteEndRequireItem1	DropNpcTemplateID1	DropDoodadTemplateID1	DropItemRate1	IsDropForEach1	EndRequireItemType2	EndRequireItemIndex2	EndRequireItemAmount2	IsDeleteEndRequireItem2	DropNpcTemplateID2	DropDoodadTemplateID2	DropItemRate2	IsDropForEach2	EndRequireItemType3	EndRequireItemIndex3	EndRequireItemAmount3	IsDeleteEndRequireItem3	DropNpcTemplateID3	DropDoodadTemplateID3	DropItemRate3	IsDropForEach3	EndRequireItemType4	EndRequireItemIndex4	EndRequireItemAmount4	IsDeleteEndRequireItem4	DropNpcTemplateID4	DropDoodadTemplateID4	DropItemRate4	IsDropForEach4	KillNpcTemplateID1	KillNpcAmount1	KillNpcTemplateID2	KillNpcAmount2	KillNpcTemplateID3	KillNpcAmount3	KillNpcTemplateID4	KillNpcAmount4	QuestValue1	QuestValueStr1	QuestValue2	QuestValueStr2	QuestValue3	QuestValueStr3	QuestValue4	QuestValueStr4	QuestValue5	QuestValueStr5	QuestValue6	QuestValueStr6	QuestValue7	QuestValueStr7	QuestValue8	QuestValueStr8	EndForceIndex1	EndValue1	EndForceIndex2	EndValue2	EndForceIndex3	EndValue3	EndForceIndex4	EndValue4	RelationDoodadID1	RelationDoodadID2	RelationDoodadID3	RelationDoodadID4	HidePresent	PresentAll1	PresentAll2	PresentItemType1	PresentItemIndex1	PresentItemAmount1	PresentItemType2	PresentItemIndex2	PresentItemAmount2	PresentItemType3	PresentItemIndex3	PresentItemAmount3	PresentItemType4	PresentItemIndex4	PresentItemAmount4	PresentItemType5	PresentItemIndex5	PresentItemAmount5	PresentItemType6	PresentItemIndex6	PresentItemAmount6	PresentItemType7	PresentItemIndex7	PresentItemAmount7	PresentItemType8	PresentItemIndex8	PresentItemAmount8	PresentExp	PresentMoney	PresentMoral	AffectForceIndex1	AffectValue1	AffectForceIndex2	AffectValue2	AffectForceIndex3	AffectValue3	AffectForceIndex4	AffectValue4	AffectSkillID	Proficiency	RepeatCutPercent	PresentAssistIntimacy	PresentAssistMoral	PresentAssistExp	ScriptName	_Cat	_Type	_AreaQuest
0	无效任务名称	无效任务目标	无效任务描述	无效未完成对话（接任务处）	无效未完成对话（交任务处）	无效完成对话	其他	0	0	0	1		0	0	0	0	0	0	0	0					0	999999999	-999999999	999999999	0	0	0	1	0	0	0	0	0	0	0	86400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	1	0	0	1048576	1	0	0	0	1	0	0	1048576	1	0	0	0	1	0	0	1048576	1	0	0	0	1	0	0	1048576	1	0	0	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		默认分类	123	0
1	送饭	任务目标(任务简要说明)	世道变了，唉……\n<H28><F174 婆婆还没说完就咳嗽起来>\n<H28>可怜那些无辜的小孩子，村子被山贼毁了才跑到这里来。可是这年头，哪儿不是一样呢？那个叫<F173 毛毛>的孩子，都只剩皮包骨头了，看着都让人心疼。我这儿做了些<F171 稻香饼>，可是我年纪大了，腿脚不好，你带去给他吃吧。他就在<F173 村子中间的石磨>那。真是造孽哦……\n<H28><F174 婆婆说完又轻微的咳嗽起来>	造孽啊，可怜的孩子们，一定饿坏了，小伙子你还是快送去吧，毛毛就在村子的中间。		毛毛不哭……爸爸让毛毛躲起来……毛毛就躲起来……爸爸流了好多血……毛毛是好孩子……毛毛不哭……	稻香村					主线	1		1	28									1					1							2																												5	358	1										1	32										5	358	1																																																																																													100																		稻香村	123	
2	食材	五里村逃难过来的毛毛希望你能帮助他，到村子北边的后山竹林捡些大个点的竹笋，送去给王婆婆。	来到这里后<F173 王婆婆>总是很照顾我们，都不知道怎么报答才好。听村子里的小伙伴们说，<F173 村子北边的竹林>里有很多<F171 竹笋>，<F173 王婆婆>最爱吃它了。\n<H28>大哥哥你能帮我去采点给她送去吗？	多谢大哥哥了……鲜笋就在陈大夫家后面的竹林里，有很多的。	可怜的孩子们，难为他们了。\n<H28><婆婆还没说完就咳嗽起来>\n<H28>最近我那儿子又不知道到哪儿去了，好几天没回家，可不能学坏了！	哎呀，真是那帮小孩让你送来的?真是难为他们小小年纪就有这份心。	稻香村					主线	1		1	32									1					1			1				3																																								1	28										5	401	5			5																																																																1		5	305	5																						150																		稻香村	123	
3	手中针	王婆婆告诉你饥饿野猪的骨头可以做针。到村子西边附近的稻山野林，找根能做针的骨头给王婆婆送去。	唉，你和大石一样，老是不会照顾自己，出去一圈就把衣服扯破了，可惜我这里针前两天不见了，我这双老眼啊说什么也找不回来了。这兵荒马乱的一时也找不到买处，这样吧，你去找根细一点的骨头，老太婆看看能不能凑合给小兄弟你缝一下。\n<H28>说到细骨头，记得以前我还是你这年纪的时候，有次爷爷在村子西边的<F173 稻山野林>打死一头<F172 饥饿野猪>，婆婆用它身上一根很细很细的<F171 野猪骨头>做针帮我补裙子的。这一过就是几十年啊，呵呵，现在我都是老太婆了。\n<H28><F174 婆婆说着说着又咳嗽起来>		稻香村这地方偏僻啊，买根针都不容易。王富那小子说给我从城里带回来，结果老让我失望。稻山的野猪你要小心点，上次小虾儿可就让它给撞伤了。	这根针正好，我这就给你缝补。这裤子是我做给我那大儿子的，他也不爱穿，我看蛮适合你的，你就先将就穿上吧。	稻香村					主线	2		1	28									1					1			2				4																																								1	28										5	434	1		4		524288																																																															1		7	156	1																						310																		稻香村	123	
4	身上衣	将王婆婆做的新衣服送给她在村南路口的儿子王大石。	真是多亏你帮老太婆我找来这颗针啊，如果不嫌弃老太婆麻烦的话，小兄弟能不能再帮一个忙呢？我那不争气的儿子<F173 大石>已经好几天没回家了，也不知道忙着些什么事。\n<H28>其实我也不求他能做什么大官，有什么大成就，但最重要的是快快乐乐，平平安安的。只要他有空回来看看我这老太婆，给我报个平安，我就心满意足了。\n<H28><婆婆说着说着又咳嗽起来>\n<H28>来，小伙子，这有我新做的<F171 衣服>，准备等他回家来给他试试看看合不合身，但眼看天气渐渐凉了他也没回来拿，小兄弟能不能帮老太婆送过去呢？听村里人说他这几天就在<F173 村口>，你去看看他在不在，在的话就把这件衣服给他，谢谢你了小伙子。	我那大儿子，每天不知道忙些什么，也不回家。小伙子，他应该就在村口的桥边上，可惜我腿脚不好，辛苦你了。		五里村被毁，李先生说山贼下一个目标就是俺们村，这个时候可不能松劲。\n<H28><F174 你拿出王婆婆给大石带来的衣服>\n<H28>啊？都说不用这么麻烦了，俺会照顾自己的。多谢你了，兄弟。	稻香村					主线	2		1	28									1					1			3																																5	432	1										1	23										5	432	1																																																																																													120	1																	稻香村	123	
5	问药	陈大夫的药用得差不多了，叫你找他的邻舍猎户张强取些伤药。	自从大石开始召集大家抵抗山贼以来，伤员越来越多了，也不知道听从李复的主意是福是祸。\n<H28>我这里<F171 伤药>用得差不多了，你去问问对门的<F173 张猎户>，看看他那里还有没有富余。我记得上次他被狼咬伤了，我给了一大盒膏药。	自从大石开始召集大家抵抗山贼以来，伤员越来越多了，也不知道听从李复的主意是福是祸。	速去速回。就在南面茶肆附近，我这都能看见他。	找我有什么事吗？等准备完过冬的皮毛后我就要和弟弟张忠去打山贼。你知道我可是个神箭手啊，上次一箭就射了两只鸟下来，哈哈，这回也让山贼尝尝有来无回的滋味。	稻香村	1				主线	1		1	31									1					2							200																																								1	29																																																																																																									100																		稻香村	123	
6	包扎	给躺在陈大夫旁边医舍的三位受伤的村民打上绷带。	我已经将药涂在绷带上了，就照我以前教你的，给这些<F173 受伤的村民>打上<F171 绷带>。\n<H28>还有，这两天你可别到处乱跑，村子外面到处都是山贼，你要出了什么差错我可就对不起你那死去的父亲。\n<H28><F174 陈大夫一边煎药一边傻傻的看着火苗发呆>		伤都不重，但血要先止住，按我以前教你的，先把这黑药膏涂在伤口上，记得要涂均匀，口子大的要多涂点，防止伤口又裂开。	这么快？看来你已经越来越熟练。哈哈，不愧是我教出来的，剩下的那些你就自己留着吧。	稻香村					主线	1		1	31									1					2			200				7																												5	431	3										1	31																																																		3	包扎伤员																												1		5	341	5																						150																		稻香村	123	
7	回报	应陈大夫的要求去找住在村里大树附近的村长，问问老村长自己能帮村里做点什么。	难道真像算命先生说的，这个村子每隔十五年就会有一劫？\n<H28><F173 村长>最近都为山贼的事情发愁，我这边的事也算告一段落，你去问问看，也许能帮上忙，看看接下来该如何为好。	快点去找村长吧。村长家就在村口的大树附近。真是的，我知道你肯定知道怎么去，你就是动作慢。		村子里的男丁都去到王大石那儿去了，不过我还是每天提心吊胆的，不知道能坚持多久。这几天我晚上都跟村里的大榕树许愿，希望我们村这次也能度过这一劫难。	稻香村					主线	2		1	31									1					2			6				8																																								1	36																																																																																																									120																		稻香村	123	
8	勇气	老村长要你到村北面的后山竹林杀死三只果子狸给王大石看，以此来证明你有足够的勇气来为村子出力,王大石就在村南路口大树下附近。	什么？你说你要去帮忙一起守村子？你要知道这可不是闹着玩的，那山贼个个都杀人不眨眼，前阵那五里村就是被他们毁了。\n<H28><F174 你对村长说你坚持要帮村里撑过这个危机>\n<H28>既然你这么坚持，这样吧，<F173 村南后山>有很多<F172 果子狸>，危害到很多到那边捡竹笋孩子们的安全。你去试试看能不能把它给除掉，然后去告诉<F173 村南路口>的<F173 王大石>，我想这样他们就谁也不会怀疑你的决心了。	果然……还是不行吗……	你也来加入我们？你以为现在还是闹着玩？去去去，走一边去，你大石哥现在可是做正事的人了，忙得很哪。	<F172 果子狸>被你杀了，你是怎么办到的？\n<H28><F174 王大石一脸惊讶的看着你>\n<H28>看来李先生说得没错，无论男女，都可为村子出力，果然是这样。	稻香村					主线	2		1	36									1					2			200																																												1	23																																										1	3																																				1		7	156	1																						310	1																	稻香村	123	
9	返乡	王富把你带到了稻香村，你为了报五里村的家仇血债先去跟村南桥头的民兵队长王大石对话。	呼，终于回来稻香村了，可把我累死了。要不是有山贼堵在入村的大道上，我们也不用多走这二十多里的山路。害得我运进来的货都掉了两箱到山沟里去。唉，这世道也不太平啊。\n<H28>诺，你要找的<F173 王大哥>就在<F173 村口的桥头>那带。我就不去了，得好好歇会儿，等下还得点货。	怎么？还找不到吗？王大哥就在村口的桥头那儿，带了一帮人天天在那儿巡逻，威风得紧。		哈哈，兄弟你可回来了。这一别可有两三年了吧。\n<H28>废话少说，你回来得正好，现在俺们稻香村被这伙山贼盯上。兄弟齐心，那个啥断金来着，总之这次俺们要把山贼打得抱头……嗯……抱头……他奶奶的，下次要找李先生学清楚。	稻香村	1				主线	1		1	24									1					3							10																																								1	23																																																																																																									100																		稻香村	123	
