Operation	Index	Desc	TYPE
Speak	0	在帮会频道发言	Common
AddMember	1	加人入帮会。(加入普通会员)	Common
JoinManagerChannel	1	加入官员频道，并可以查看频道发言。	Common
SpeakInManagerChannel	1	在官员频道发言。	Common
CheckOperationRecord	1	查看帮会操作记录。	Common
ModifyAnnouncement	2	修改帮会公告。	Common
ModifyOnlineMessage	2	修改帮会上线提示。	Common
ModifyIntroduction	2	修改帮会介绍。	Common
ModifyRules	2	修改帮会帮规。	Common
ModifyMemorabilia	2	修改帮会大事记。	Common
DevelopTechnology	3	投资科技树。	Common
SetProductPrice	3	决定道具与贡献值的兑换比例。	Common
PutRepositoryPage2	4	往仓库内第二页存放物品。	Common
PutRepositoryPageN	4	往仓库内第N页存放物品。	Common
GetFromRepositoryPage1	4	从仓库内第一页取出物品。	Common
GetFromRepositoryPage2	4	从仓库内第二页取出物品。	Common
GetFromRepositoryPageN	4	从仓库内第N页取出物品。	Common
ModifyCalendar	5	增加/编辑/删除帮会相关的日历项。	Common
ManageTask	5	发起/取消帮会任务。	Common
ManageVote	5	发起/取消投票。	Common
AddToGroup	0	加人入某一用户组。	Advance
MoveFromGroup	0	将人从某一用户组中移除。	Advance
ModifyMemberRemark	0	编辑他人的备注。	Advance
Kickout	1	踢人出帮会。	Advance
ModifyWage	1	编辑他人工资。	Advance
PaySalary	1	发工资。	Advance
