ID	Name	Class1	Class2	Class3	ShortDesc	Summary	AnnounceLevel	Level	LevelPercent	LevelNumber	Time	TimePercent	TimeNumber	Desire	DesirePercent	DesireNumber	Challenge	ChallengePercent	ChallengeNumber	RoughPoint	Point	RoughFinishPoint	FinishPoint	Exp	Message	Script	TitleID	ShiftID	ShiftType	TriggerVal	TimerName	IsShow	Icon
1	懵懂无知	江湖行	杂闻	玩家等级	人物等级到10级	——		10	60%	5	3	60%	10	0	80%	5	0	60%	5	16	15	16	15	400			——						
2	初涉江湖	江湖行	杂闻	玩家等级	人物等级到20级	——		20	60%	5	18	100%	10	0	80%	5	0	60%	5	20	20	20	20	1000									
3	流落江湖	江湖行	杂闻	玩家等级	人物等级30级	——		30	60%	5	29	100%	10	0	80%	5	0	60%	5	20	20	20	20	1600									
4	浪迹江湖	江湖行	杂闻	玩家等级	人物等级40级	——		40	80%	5	45	120%	10	0	80%	5	0	80%	5	24	25	24	25	2800									
5	小露锋芒	江湖行	杂闻	玩家等级	人物等级50级	——		50	80%	5	70	140%	10	0	80%	5	0	80%	5	26	25	26	25	3700			——						
6	锋芒毕露	江湖行	杂闻	玩家等级	人物等级60级	——		60	100%	5	100	160%	10	0	80%	5	0	100%	5	30	30	30	30	5600									
7	纵横江湖	江湖行	杂闻	玩家等级	人物等级70级	——		70	120%	5	118	160%	10	0	80%	5	0	100%	5	31	30	31	30	6900									
8	好学爱问	江湖行	杂闻	新手帮助	学习所有的新手帮助	——		30	80%	5	30	100%	10	0	80%	5	0	60%	5	21	20	21	20	1600			——						
9	驰骋天涯	江湖行	杂闻	武功技能	学会骑术	——		20	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	800									
10	伯乐	江湖行	杂闻	装备	获得第1匹坐骑	——		20	60%	5	18	60%	10	0	80%	5	0	60%	5	16	15	16	15	800									
11	传音入密	江湖行	杂闻	交流	第一次使用密语	——		2	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	100									
12	大狮子吼	江湖行	杂闻	交流	第一次使用世界频道	——		2	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	100									
13	千里传音	江湖行	杂闻	交流	第一次使用地图频道	——		2	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	100									
14	一贫如洗	江湖行	杂闻	包裹	全部装备6格背包	——		10	60%	5	3	60%	10	0	80%	5	0	60%	5	16	15	16	15	400									
15	囊中青涩	江湖行	杂闻	包裹	全部装备8格背包	——		20	60%	5	18	100%	10	0	80%	5	0	60%	5	20	20	20	20	1000									
16	囊中羞涩	江湖行	杂闻	包裹	全部装备10格背包	——		30	60%	5	29	100%	10	0	80%	5	0	60%	5	20	20	20	20	1600									
17	白手起家	江湖行	杂闻	包裹	全部装备12格背包	——		40	80%	5	45	120%	10	0	80%	5	0	80%	5	24	25	24	25	2800									
18	安贫乐道	江湖行	杂闻	包裹	全部装备14格背包	——		50	80%	5	70	140%	10	0	80%	5	0	100%	5	27	25	27	25	3700									
19	腰安富恤	江湖行	杂闻	包裹	全部装备16格背包	——		60	100%	5	100	160%	10	1	120%	5	1	140%	5	34	35	34	35	6600									
20	包很大	江湖行	杂闻	包裹	全部装备18格背包	——		60	100%	5	118	160%	10	1	120%	5	1	140%	5	34	35	34	35	6600									
21	包不要钱	江湖行	杂闻	包裹	全部装备20格背包	——		70	120%	5	15	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
22	开始读书	江湖行	杂闻	包裹	得到第1个书包	——		15	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	500									
23	开始神农	江湖行	杂闻	包裹	得到第1个草药包	——		15	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	500									
