ZoneName	ServerName	LogServerName	BackUpFilePath
电信一区	飞骏谷	jx3log0605	K:\角色库备份2009年11月19日\jx3online0605-2009_11_19\2009_11_19_03_00_01
电信一区	长安城	jx3log0101	K:\角色库备份2009年11月19日\jx3online0101-2009_11_19\2009_11_19_05_15_02
电信一区	洛阳城	jx3log0102	K:\角色库备份2009年11月19日\jx3online0102-2009_11_19\2009_11_19_06_22_45
电信一区	扬州城	jx3log0103	K:\角色库备份2009年11月19日\jx3online0103-2009_11_19\2009_11_19_06_54_12
电信一区	金水镇	jx3log0104	K:\角色库备份2009年11月19日\jx3online0104-2009_11_19\2009_11_19_07_09_14
电信一区	洛道	jx3log0105	K:\角色库备份2009年11月19日\jx3online0105-2009_11_19\2009_11_19_07_31_41
电信一区	巴陵县	jx3log0106	K:\角色库备份2009年11月19日\jx3online0106-2009_11_19\2009_11_19_06_20_02
电信一区	龙门荒漠	jx3log0107	K:\角色库备份2009年11月19日\jx3online0107-2009_11_19\2009_11_19_06_20_07
电信一区	南屏山	jx3log0108	K:\角色库备份2009年11月19日\jx3online0108-2009_11_19\2009_11_19_06_20_18
电信一区	昆仑	jx3log0109	K:\角色库备份2009年11月19日\jx3online0109-2009_11_19\2009_11_19_06_20_26
电信一区	枫华谷	jx3log0110	K:\角色库备份2009年11月19日\jx3online0110-2009_11_19\2009_11_19_06_20_35
电信一区	逍遥林	jx3log0503	K:\角色库备份2009年11月19日\jx3online0503-2009_11_19\2009_11_19_06_27_40
电信一区	翠烟山	jx3log0507	K:\角色库备份2009年11月19日\jx3online0507-2009_11_19\2009_11_19_06_25_19
电信一区	幽雨坪	jx3log0508	K:\角色库备份2009年11月19日\jx3online0508-2009_11_19\2009_11_19_06_25_35
电信二区	步莲台	jx3log0502	K:\角色库备份2009年11月19日\jx3online0502-2009_11_19\2009_11_19_06_27_16
电信二区	落星湖	jx3log0509	K:\角色库备份2009年11月19日\jx3online0509-2009_11_19\2009_11_19_06_25_51
电信二区	三才阵	jx3log0201	K:\角色库备份2009年11月19日\jx3online0201-2009_11_19\2009_11_19_06_22_02
电信二区	天工坊	jx3log0202	K:\角色库备份2009年11月19日\jx3online0202-2009_11_19\2009_11_19_06_22_06
电信二区	灵霄峡	jx3log0203	K:\角色库备份2009年11月19日\jx3online0203-2009_11_19\2009_11_19_06_22_18
电信二区	无盐岛	jx3log0204	K:\角色库备份2009年11月19日\jx3online0204-2009_11_19\2009_11_19_06_22_21
电信二区	荻花宫	jx3log0205	K:\角色库备份2009年11月19日\jx3online0205-2009_11_19\2009_11_19_06_22_29
