名称	道具种类	具体类别	详细类别	最小类别	对应物件索引	说明文字	动画文件	二级动画文件	品质	档次	爻装	爻装附加概率	价格	系统收购价格	负重	叠加	耐久	套装ID	脚本名	buff目标	Buff1	Buff2	Buff3	SkillID	SkillTarget	Group	CDTime	ActionTime	Log	换装部件	等级需求	职业需求	系需求	灵需求	力需求	体需求	术需求	物攻需求	魔攻需求	是否可修理	是否可以丢弃	ItemBUFF是否直接生效	是否可以交换	是否可拆爻	是否可升级	法宝蕴魂上限	法宝技能BUFF	是否可以出售	是否会死亡掉落	是否唯一	拿起音效	放下音效	使用音效	蕴魂	掉落npcid	显示类型
小金创药	1	0	0	0	330	小瓶疗伤药。瞬间回复10命，之后每秒回复5命，持续10秒。	potion1	yp1	0				10	5	1	10			1	-1|-1|-1|-1|-1|-1|-1	695										0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
中金创药	1	1	0	0	331	中瓶疗伤药。瞬间回复30命，之后每秒回复15命，持续10秒。	potion1	yp2	0				35	17	2	10			1	-1|-1|-1|-1|-1|-1|-1	696										5	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
大金创药	1	2	0	0	332	大瓶疗伤药。瞬间回复60命，之后每秒回复30命，持续10秒。	potion1	yp3	0				100	50	3	10			1	-1|-1|-1|-1|-1|-1|-1	697										10	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
小还灵丹	1	3	0	0	333	小瓶回气散。瞬间回复20气，之后每秒回复8气，持续10秒。	potion1	yp4	0				10	5	1	10			1	-1|-1|-1|-1|-1|-1|-1	698										0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
中还灵丹	1	4	0	0	334	中瓶回气散。瞬间回复50气，之后每秒回复20气，持续10秒。	potion1	yp5	0				35	17	2	10			1	-1|-1|-1|-1|-1|-1|-1	699										5	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
大还灵丹	1	5	0	0	335	大瓶回气散。瞬间回复150气，之后每秒回复50气，持续10秒。	potion1	yp6	0				100	50	3	10			1	-1|-1|-1|-1|-1|-1|-1	700										10	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
玉灵散	1	6	0	0	336	玉莲子与灵芝精制而成的疗伤回气之药。恢复少量命和气。	questkey1	rw18	0				1000	500	2	5			1	-1|-1|-1|-1|-1|-1|-1	696	699									10	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
柴胡草	1	7	0	0	336	此草生来盖世无，紫芝崖下用功夫。常桑曾说玄中妙，寒门发表是柴胡。恢复大量命和气。	questkey1	rw33	0				2500	1250	3	5			1	-1|-1|-1|-1|-1|-1|-1	697	700									10	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
移形符	1	8	0	0	336	传送灵符。使用后，在当前地图内随机传送（部分地图禁用）。	potion1	cs1	0				500	250	1	10			1	-1|-1|-1|-1|-1|-1|-1	7571							1			30	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
地遁符	1	9	0	0	336	传送灵符。使用后，脱离迷宫，返回地面（部分地图禁用）。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3862							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
回城符	1	10	0	0	336	传送灵符。使用后，直接返回记录点所在城市。	potion1	cs3	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3862							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
北海传送符	1	11	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3863							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
昆仑传送符	1	12	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3864							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
九黎传送符	1	13	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3865							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
朝歌传送符	1	14	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3866							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
盗墓穴东传送符	1	15	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3867							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
盗墓穴西传送符	1	16	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3868							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
雌雄洞一层传送符	1	17	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3869							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
盘丝洞一层传送符	1	18	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3870							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
白骨洞一层传送符	1	19	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3871							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
白骨洞二层传送符	1	20	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3872							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
七劫洞一层传送符	1	21	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3873							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
七劫洞二层传送符	1	22	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3874							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
七劫洞三层传送符	1	23	0	0	336	传送灵符。使用后，传送到指定的地点。	potion1	cs2	0				1000	500	1	10			1	-1|-1|-1|-1|-1|-1|-1	3875							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
