名称	道具种类	具体类别	详细类别	最小类别	对应物件索引	说明文字	动画文件	二级动画文件	品质	档次	爻装	爻装附加概率	价格	系统收购价格	负重	叠加	耐久	套装ID	脚本名	buff目标	Buff1	Buff2	Buff3	SkillID	SkillTarget	Group	CDTime	ActionTime	Log	换装部件	等级需求	职业需求	系需求	灵需求	力需求	体需求	术需求	物攻需求	魔攻需求	是否可修理	是否可以丢弃	ItemBUFF是否直接生效	是否可以交换	是否可拆爻	是否可升级	法宝蕴魂上限	法宝技能BUFF	是否可以出售	是否会死亡掉落	是否唯一	拿起音效	放下音效	使用音效	蕴魂	掉落npcid	显示类型
默认	0	0	0	0	0	非法物品，无效。	materialm3	cl57	0	0	0	0	0	0	0	0	0		0	-1|-1|-1|-1|-1|-1|-1										0	0	1.1.1.1.1.1								0	1	0	0	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
木刀	0	0	1	1	319	硬木削制的长刀，多用于习武演练。	weapon1	dd1	0	1	0	0	2	1	4	0	5100		1	-1|-1|-1|-1|-1|-1|-1	6000									1	1	1.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
战刀	0	0	2	1	319	普通战士使用的军刀。	weapon1	dd1	0	1	0	0	10	5	4	0	5500		1	-1|-1|-1|-1|-1|-1|-1	6001									1	5	1.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
黄铜刀	0	0	3	1	319	黄铜所制单刀，轻便顺手，军中十分常见，但较易损坏。	weapon1	dd2	0	1	0	0	40	20	8	0	6000		1	-1|-1|-1|-1|-1|-1|-1	6002									2	10	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
青铜刀	0	0	4	1	319	青铜所制单刀，较之黄铜刀更为坚硬，威力也更大。	weapon1	dd3	0	1	0	0	240	120	19	0	7000		1	-1|-1|-1|-1|-1|-1|-1	6003									2	20	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
柳叶刀	0	0	5	1	319	有一种利刀柔时似剑，刚时似石，轻便易用。因其刀如柳叶，人们遂称之为柳叶刀。	weapon1	dd4	0	1	0	0	440	220	34	0	8000		1	-1|-1|-1|-1|-1|-1|-1	6004									3	30	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
虎头刀	0	0	6	1	319	军队将官使用战刀，削铁如泥，重三十六斤，有虎头装饰，挥舞起来虎虎生风。	weapon1	dd5	0	1	0	0	640	320	41	0	9000		1	-1|-1|-1|-1|-1|-1|-1	6005									3	40	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
破风刀	0	0	7	1	319	古有可断风之刃，谓之破风，动则风随刃破，静则气可摄人。非能工巧匠不能铸。	weapon1	dd6	0	2	0	0	840	420	49	0	10000		1	-1|-1|-1|-1|-1|-1|-1	6006									4	50	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
斩将刀	0	0	8	1	319	刀以斩将为名，多为勇猛将领所用，挥舞时虎虎生威，其势摄人，南宫适等人均善用此刀。	weapon1	dd7	0	2	0	0	1040	520	64	0	11000		1	-1|-1|-1|-1|-1|-1|-1	6007									4	60	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
云头刀	0	0	9	1	319	此刀因刀头呈圆型，形似云头，故得名云头刀，商周两军中均较为常见。	weapon1	dd3	1	1	0	0	860	720	19	0	7000		1	-1|-1|-1|-1|-1|-1|-1	6008									2	20	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
