Name	Kind	Camp	Series	Treasure	Treasure1	HeadImageSet	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	CuffType	BootType	ShoulderType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Skill2	Skill3	Skill4	Skill5	ActionScript	ActionTime	BreakTime	LevelScript	ExpParam	SkillExp	LifeParam	LifeReplenish	ARParam	DefenseParam	MinMeleeDamage	MaxMeleeDamage	MinRangeDamage	MaxRangeDamage	MinFireDamage	MaxFireDamage	MinColdDamage	MaxColdDamage	MinWindDamage	MaxWindDamage	MinLightingDamage	MaxLightingDamage	MinBlackDamage	MaxBlackDamage	MinPoisonDamage	MaxPoisonDamage	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	MeleeResist	RangeResist	FireResist	ColdResist	WindResist	LightResist	BlackResist	PoisonResist	ReviveFrame	Stature	DropRateFile	DropRateFile1	DropRateFile2	DropRateFile3	AIMaxTime	BarrierW	BarrierH	DeathScript	NpcColor	ReviveBuff	DeathBuff	GUID	LifeBarType	ShowLifePercent	NameColor	Blood			
³ÌÑÐ[ÎäÆ÷ÉÌ]	3	6	0	1	1	NpcFace	bigan		14				passerby060	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
µÀÌìÏÂ[·À¾ßÉÌ]	3	6	0	1	1	NpcFace	duyi		14				passerby035	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
ÓàÎ¬[Ê×ÊÎÉÌ]	3	6	0	1	1	NpcFace	yuling		14				passerby039	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
ºÎÆð[Ò©ÉÌ]	3	6	0	1	1	NpcFace	yinhong		14				passerby046	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	130					20	1	1	\script\main.lua	0	3857									
ÓñÐé¹¬ÔÓ»õÉÌ	3	6	0	1	1	NpcFace	tongtianjiaozhu		14				passerby066	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
³Ö»ðÍ¯×Ó	3	6	0	1	1	NpcFace	baihetongzi		14				passerby001	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	95					20	1	1	\script\main.lua	0	3857									
»ÆÊåÏò[ÎäÆ÷ÉÌ]	3	6	0	1	1	NpcFace	huangfeihu		14				passerby037	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
½ª¶À³þ[·À¾ßÉÌ]	3	6	0	1	1	NpcFace	chaogeneitingshiwei		14				passerby031	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	125					20	1	1	\script\main.lua	0	3857									
¼§ÊÊÖ®[Ê×ÊÎÉÌ]	3	6	0	1	1	NpcFace	duyi		14				passerby035	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
³ÂËØÎÊ[Ò©ÉÌ]	3	6	0	1	1	NpcFace	yinhong		14				passerby046	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	130					20	1	1	\script\main.lua	0	3857									
±±º£ÔÓ»õÉÌ	3	6	0	1	1	NpcFace	yuling		14				passerby039	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
Ëæ¾ü½³ÈË	3	6	0	1	1	NpcFace	liwen		14				passerby048	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	115					20	1	1	\script\main.lua	0	3857									
´÷Ó¦Îï[ÎäÆ÷ÉÌ]	3	6	0	1	1	NpcFace	junxuguan		14				passerby022	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	130					20	1	1	\script\main.lua	0	3857									
ºÎ±Ø[·À¾ßÉÌ]	3	6	0	1	1	NpcFace	huangtianlin		14				passerby028	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	160					20	1	1	\script\main.lua	0	3857									
ê½Àì[Ê×ÊÎÉÌ]	3	6	0	1	1	NpcFace	yuling		14				passerby039	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
ÑÕÐé[Ò©ÉÌ]	3	6	0	1	1	NpcFace	yinhong		14				passerby046	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	130					20	1	1	\script\main.lua	0	3857									
