ID	Desc	Persist	Group	Level	Category	Category1	Category2	Category3	Capability	Stack	ErrProc	Precond	SpecialStack	Sync	Save	Delay	Plus	Send	Death	Offline	DelayAdd	Icon	ReplaceRes	OnceRes	HeadRes	BodyRes	BottomRes	OnlySoundRes	SoundRes	ie1	ie2	ie3	ie4	ie5	pe1	pe2	pe3	pe4	pe5
2	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>加血蓝上限</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	-1	999	1					-1	0			0	1	0	0	1	0	1			qingcheng	-1							2	3	4	5						
3	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	998	1					-1	0			0	1	0	0	0	0	0				-1	30															
4	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	997	1					-1	0			0	1	0	0	0	0	0				-1	30						8									
5	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	996	1					-1	0			0	1	0	0	0	0	0				-1	30						9									
6	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	995	1					-1	0			0	1	0	0	0	0	0				-1	30						10									
7	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	994	1					-1	0			0	1	0	0	0	0	0				-1	30						11									
8	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>加爆击率100%</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	-1	993	1					-1	0			0	1	0	0	1	0	1			qingcheng	-1							6									
9	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>妙手回春</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>每2秒回复10点生命</Obj></Seg></Layout>	20	1	1	1				-1	0			0	1	0	0	1	1	1			miaoshouhuichun	-1	1						12									
10	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>妙手回春</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>每2秒回复20点生命</Obj></Seg></Layout>	20	1	2	1				-1	0			0	1	0	0	1	1	1			miaoshouhuichun	-1	1						13									
11	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>妙手回春</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>每2秒回复30点生命</Obj></Seg></Layout>	20	1	3	1				-1	0			0	1	0	0	1	1	1			miaoshouhuichun	-1	1						14									
12	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>妙手回春</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>每2秒回复40点生命</Obj></Seg></Layout>	20	1	4	1				-1	0			0	1	0	0	1	1	1			miaoshouhuichun	-1	1						15									
13	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>妙手回春</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>每2秒回复50点生命</Obj></Seg></Layout>	20	1	5	1				-1	0			0	1	0	0	1	1	1			miaoshouhuichun	-1	1						16									
14	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>妙手回春</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>每2秒回复60点生命</Obj></Seg></Layout>	20	1	6	1				-1	0			0	1	0	0	1	1	1			miaoshouhuichun	-1	1						17									
15	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	2	1					-1	0			0	1	0	0	0	0	1				-1	2						18									
16	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	2	2					-1	0			0	1	0	0	0	0	1				-1	2						19									
17	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	2	3					-1	0			0	1	0	0	0	0	1				-1	2						20									
18	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	2	4					-1	0			0	1	0	0	0	0	1				-1	2						21									
19	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>无人之境</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>使自己不受任何伤害和效果</Obj></Seg></Layout>	10	3	1					-1	0			0	1	0	0	1	0	1			wurenzhijing	-1												3				
