SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	LRSkill	DelType	IsAura	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	MisslesForm	MissleMoveKind	MissleSpeed	MissleLifeTime	MissleHeight	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	AttackTargetType	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	AddBaseDamage	SkillType	InitialStatus	SkillSeries	DamageType	DamageTargetType	DamageVal	NpcPercent	SkillDesc	SkillLevel	IncorBuffId	IncorBAvailRating	IncorBTarget	CorBuffId	CorBAvailRating	CorBTarget	Group	Category	Category1	Category2	Category3	Barrier	AddCriProb	CriDamage	MostAffNum	CastSpeed	DoHurt	ToolTipsView	ReqView	DescView	SummonNpcId	TrapId	AddToListInit	IsTalismanSkill	IsSwitchSkill	CostItem	Threat	CommonCoolDown	LevelUpBuffId	CostSkillExp	TargetFilterInfo	InvokeHideSkillId
玄女兵法		1			xuannvbingfa																																												1															3	0						1																				刀下杀戒，心中慈悲。			1									
驭风诀要		2			yufengjueyao																																												1															3	0						1																				风随意动，为我所用。			1									
九天仙法		3			jiutianxianfa																																												1															3	0						1																				仙法护体，无坚不摧。			1									
兵信神符		4			bingxinshenfu																																												1															3	0						1																				十万雄兵尽驱使，君临天下，唯我独尊。			1									
修真		5			xiuzhen																																												1															3	0						1																				修真访道，锤炼自身，以求永生不灭。			1									
烈		6			lie																																												1															3	0						1																				以血换血，以命博命。			1									
破		7			po																																												1															3	0						1																				破其可破之处，攻其必中。			1									
魔		8			mo																																												1															3	0						1																				天魔附体，嗜血嗜杀。			1									
狂		9			kuang																																												1															3	0						1																				刑天舞干戚，狂战鬼神惊。			1									
修真		10			xiuzhen																																												1															3	0						1																				修真访道，锤炼自身，以求永生不灭。			1									
火诀		11			huojue																																												1															3	0						1																				天地怒火，胸中真火，尽展其威。			1									
灵诀		12			lingjue																																												1															3	0						1																				离火坎冰，尽吸天地元灵，以御自身。			1									
水诀		13			shuijue																																												1															3	0						1																				流水化坚冰，以柔化刚，八卦之至道。			1									
神诀		14			shenjue																																												1															3	0						1																				老子一气化三清，道中之道至高境。			1									
修真		15			xiuzhen																																												1															3	0						1																				修真访道，锤炼自身，以求永生不灭。			1									
玄冥神通		16			xuanmingshentong																																												1															3	0						1																				八卦之外有玄冥，玄冥之中自通神。			1									
归真象形		17			guizhenxiangxing																																												1															3	0						1																				万灵有数，道法无穷。			1									
摄魂术		18			shehunshu																																												1															3	0						1																				摄魂夺魄，呼名落马。			1									
瘟痘大法		19			wendoudafa																																												1															3	0						1																				瘟癀昊天，代天行罚，人间生死，尽在掌握。			1									
修真		20			xiuzhen																																												1															3	0						1																				修真访道，锤炼自身，以求永生不灭。			1									
九黎秘术		21			jiulimiyao																																												1															3	0						1																				与钺齐舞，起死回生。			1									
驭兽		22			tonglingzhishu																																												1															3	0						1																				天赋异禀，驱虎引凤。			1									
通灵		23			yushou																																												1															3	0						1																				以心为灵，以兽为本，穷其变化之道。			1									
先祖之魂		24			xianzuzhihun																																												1															3	0						1																				蚩尤战亡，其魂不灭，以之克敌，遇神杀神。			1									
修真		25			xiuzhen																																												1															3	0						1																				修真访道，锤炼自身，以求永生不灭。			1									
箭术		26			jianshu																																												1															3	0						1																				百步穿杨，箭引风雷，天地变色。			1									
陷阱		27			xianjing																																												1															3	0						1																				身缚泥沼潭，心迷桃花瘴。			1									
蛊矢		28			gushi																																												1															3	0						1																				苗疆秘技，蛊惑乾坤。			1									
遁甲		29			yishu																																												1															3	0						1																				五行奇门，遁甲为高。			1									
修真		30			xiuzhen																																												1															3	0						1																				修真访道，锤炼自身，以求永生不灭。			1									
普通攻击		31		0	putonggongji									160													3								1	81		1											1															3	31	1	0	0	100		1							1					8		200		0																
普通攻击		32		0	putonggongji									800													3								0	81		1											1															3	32	4	0	3	0		1							1					8		200		0																
普通攻击		33		0	putonggongji									160													3								1	81		1											1			5												3	33	1	0	2	0		1							1					8		200		0																
怒斩		34		0	nuzhan									160				7	5	0	3	10	2		1	1	3					0	1		1	81		1											1															3	34	1	0	4	50		1							1	1	7			8		200		0				对单体敌对目标造成4点近程物理伤害，受50%攻击加成									3			
掌心雷		35		0	zhangxinlei									800				7	5	0	10	10	7		1	1	3					0	2	1500	0	81		1											1															3	35	4	0	6	50		1							2		8			8		200		0				对单体敌对目标造成6点火伤害，受50%咒法加成									3			
飞刀		36		0	feidao									500				2	1	50	18	10	15		1	1	3					0	1		1	81		1											1															3	36	0	0	4	50		1							3		9			8		200		0				对单体敌对目标造成4点远程物理伤害，受50%攻击加成									3			
万里云烟		37		0	wanliyunyan									0																				3600000	0	3		0											1															3	37						1	3862	100	1				999		10			8		0		-70				回到记忆中的城市									3			
异术	异术	40			tudun																																												1															3	0						1																				异能奇术，夺天地造化。			1		3							
坚韧	玄风	41			jianren																																												50															3	41						1																				被动，每级增加1点体			1		2				3			
强身		42			qiangshen																																												50															3	42						1																				被动，每级增加1点力			1		2				3			
机敏		43			jimin																																												40															3	43						1																				被动，每级增加5点闪避			1		2				3			
苦思		44			kusi																																												30															3	44						1																				被动，每级增加1点灵			1		2				3			
灵巧		45			lingqiao																																												10															3	45						1																				被动，每级增加5点命中			1		2				3			
坚韧	刑天	46			jianren																																												50															3	46						1																				被动，每级增加1点体			1		2				3			
强身		47			qiangshen																																												50															3	47						1																				被动，每级增加1点力			1		2				3			
灵巧		48			lingqiao																																												40															3	48						1																				被动，每级增加5点命中			1		2				3			
机敏		49			jimin																																												40															3	49						1																				被动，每级增加5点闪避			1		2				3			
洞察		50			dongcha																																												10															3	50						1																				被动，每级增加1%物理爆击率			1		2				3			
明悟	真人	51			mingwu																																												50															3	51						1																				被动，每级增加1点术			1		2				3			
机敏		52			jimin																																												40															3	52						1																				被动，每级增加5点闪避			1		2				3			
苦思		53			kusi																																												30															3	53						1																				被动，每级增加1点灵			1		2				3			
洞察		54			dongcha																																												10															3	54						1																				被动，每级增加1%法术爆击率			1		2				3			
灵巧		55			lingqiao																																												10															3	55						1																				被动，每级增加5点命中			1		2				3			
明悟	天师	56			mingwu																																												50															3	56						1																				被动，每级增加1点术			1		2				3			
机敏		57			jimin																																												40															3	57						1																				被动，每级增加5点闪避			1		2				3			
苦思		58			kusi																																												30															3	58						1																				被动，每级增加1点灵			1		2				3			
坚韧		59			jianren																																												30															3	59						1																				被动，每级增加1点体			1		2				3			
灵巧		60			lingqiao																																												10															3	60						1																				被动，每级增加5点命中			1		2				3			
